name,description,image,animation_url
Energy Shard #0,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #1,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #2,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #3,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #4,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #5,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #6,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #7,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #8,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #9,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #10,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #11,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #12,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #13,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #14,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #15,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #16,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #17,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #18,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #19,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #20,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #21,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #22,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #23,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #24,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #25,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #26,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #27,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #28,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #29,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #30,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #31,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #32,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #33,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #34,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #35,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #36,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #37,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #38,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #39,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #40,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #41,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #42,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #43,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #44,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #45,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #46,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #47,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #48,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #49,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #50,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #51,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #52,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #53,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #54,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #55,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #56,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #57,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #58,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #59,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #60,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #61,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #62,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #63,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #64,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #65,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #66,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #67,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #68,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #69,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #70,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #71,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
